term,estimate,std.error,statistic,p.value,conclusion
(Intercept),7.087679851719713,0.6615644047652947,10.713514512973582,1.3322794818225104e-26,Reject H0
gaming_hours,-5.3380555586953236,0.07733088167708886,-69.02876888156379,0,Reject H0
study_hours,6.253203123983747,0.028887973730567933,216.46388847850872,0,Reject H0
sleep_hours,3.729431955339026,0.05159224810860248,72.28667274759017,0,Reject H0
attendance,0.27573496652176155,0.006425916664337263,42.90982608785504,0,Reject H0
addiction_score,0.04161033965484824,0.03545223989191058,1.1737012888808418,0.24054966068026004,Fail to reject
